review_id,text,text_clean,is_advertisement,is_irrelevant,is_rant_without_visit,is_relevant,confidence_advertisement,confidence_irrelevant,confidence_rant,reasoning
11,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,the ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. the friend who took our order said half a half pizza and we preferred half chicken and half steak. two people were easily satisfied; a lot of patterns.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes ambiance, queue, and food. No ad or irrelevant content."
12,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.","flavor : it has nothing but dough taste. labor : not befitting a touristic place. service : there was no wet wipes and napkins on the table, but there was no sympathetic family to say. this service and this taste were not available at this price.",FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Mentions taste, service, and price. All relevant."
13,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,it is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes location, prices, and food. No violations."
14,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,they make delicious pizza with nice ingredients on thin dough. slice pizza and all pizza options are available. you can try two different flavors as a whole by making two different choices for the whole pizza. we wanted the mushroom and sausage. it was very nice; warm; and it was cooked in its consistency without drying the ingredients.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Describes pizza options and taste. No ad or irrelevant content.
15,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,it's in a nice place but it's very small and their pizza is not that good to be exaggerated. pizza dough is nice and thin. they do not offer advice to the customer.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Mentions location and pizza quality. No violations.
16,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,i strongly recommend. if i come to the taste part; it was very enjoyable to eat with their special sauces. also the whole pizza was huge.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Recommends food and sauces, all relevant."
17,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,it is very tasty; similar to italian pizzas. roast beef and mohair 180 tl; other pizzas 150 tl. an adult male eats 6 slices; pizzas are one size and 8 slices.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes pizza types, prices, and portion size. No violations."
18,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,do not come around marmaris and do not leave without eating pizza at pizza fellas. we ate mixed pizza; they can make two types of pizza. so delicious!,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Recommends pizza, describes experience. No ad or irrelevant content."
19,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,i never thought that the best pizza i've ever eaten would be in akyaka. thin pizzas are very tasty and the options are very good. we recommend it to everyone who comes to akyaka.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Describes pizza quality and recommends to others. No violations.
20,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,it was as if a very delicious italian chef had come out of his hands. you can eat with pleasure. the owners are very good people. i recommend.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes food, staff, and experience. No ad, irrelevant, or rant without visit."
